,review,cluster
"('4',)",Review Text 69: Alarms do not work. I've missed at least 50% so far because it never asks  me to fill it in. Can't fill in parts you've missed or even go backwards if  you accidentally click yes instead of no.,4
"('4',)","Review Text 168: As someone diagnosed with depression and mood disorders, this app is  seriously lacking. I'd be in the middle of an panic attack and there wasn't  any questions pertaining to how I felt. Most of these options are too  limited to even make an assessment. Please go see a professional if you  think anything is wrong. Don't trust this. Thier response: Dear Kaylah, I'm  sorry to hear that Moodpath wasn't helpful for you at all. Currently, the  app is focusing on the criteria for a depressive episode (as defined by the  ICD-10 and DSM-5 classification), so there is no detailed screening for  anxiety disorders such as panic disorder. We will include questions on that  in the future.- Your Moodpath Team Thier title literally says ""depression  and anxiety"" and yet they are saying that they dont record anxiety? Then  why is it your title? Depression disorder includes mood- anxiety included.  Thier questions are not consistent which means questions from day 1 part 2  may not apply but do apply for day 1 part 3. But the questions are gone so  if you answer honestly it looks like you don't have depression. Depression  covers mood, behavioral, cognitive, sleep, and much more. Asking a total of  what 10 questions per day at random is not a diagnosis. Or even an attempt  at one. Your depression can lead to ocer eating, not under eating. It can  lead to anger, not sadness. This isnt reliable. Sorry.",4
"('1',)","Review Text 385: I really liked it until the latest update. I like the features added, but it's EXTREMELY laggy now, and sometimes when I hit submit it doesn't do anything, then crashes. When I reload it has like 3 entries at the same time, all copies. Please fix.",1
"('1',)","Review Text 388: I really liked the app until it updated about a week ago. Then the notifications feature stopped working, so it became useless for me.",1
"('1',)",Review Text 390: The app crashed at the beginning and I tried to reload the app over and  over but it keeps crashing not recommending this app,1
"('0',)","Review Text 396: Doesn't account for which timezone you're in. Getting notifications at 2am is ludicrous, it needs to account for the time of your clock.",0
"('4',)","Review Text 929: Great concept but it doesn't work. The app would only let me answer one, MAYBE two batches of questions per day, continued questioning me beyond 14 days, then abruptly stopped and wouldn't give me the promised summary. I totally wasted 2+ weeks on this, only to be let down in the end.",4
"('4',)","Review Text 969: How is this garbage app rated so highly? If you aren't chained to your device, you get locked out of a set of questions after something like half an hour after the notification, and you can't answer early. I'm in the middle of a pretty severe depressive episode and downloaded this app to help me keep track of what I'm going through, but had to redo the first 14 days probably 4 times. And THEN this stupid app told me I'm fine, presumably because depression causes me to binge eat, not lose my appetite, and I'm not suicidal. Newsflash: depression does not always equal suicidal ideation, and downplaying non-suicidal depression is hugely harmful.  In short, this app is not only unhelpful but also ridiculously frustrating. Not recommended.",4
"('4',)","Review Text 1058: DON'T TRUST THE RESULT OF THIS APP!!! If you think you may be depressed, seek help. I have been diagnosed with major depressive disorder and downloaded this app to see if it might give some insights to share with my therapist. After the first two week period the app said there was no depression indicated, which I thought was weird. Then the details said I had expressed ""no sleep disturbances"" even though I had answered ""yes"" every time it asked if I had slept badly the night before. I decided to give it another try, and set it to go another two weeks. Same thing. My moods were consistently lower than last time, and my sleep was marked as bad every time it asked. The idea of this app is great, but it is not even remotely well executed.",4
"('4',)",Review Text 1083: It says to go ahead and answer the questions that it has for you. I tried to answer the question and then it says something about dragging the dumbbell weight to where it needs to go over the backpack. But on my phone it just freezes. I am deleting the app because there was a lot of fine print that didn't really make sense and I wasn't sure if I'm going to be charged for services. It sounded like a grid app and I'm sad that it didn't work to try it. There is just no way for me to complete what it asked me to do.,4
"('4',)","Review Text 1084: Very inaccurate.  I am currently being treated by professionals and the results of their assessments (i.e. PHQ-9) are very different.  Perhaps something is wrong with the app because my results were that I'm in normal range, when the majority of the questions I answered I had to select the weights.",4
"('4',)",Review Text 1088: Good idea poorly executes. I get reminders to answer questions but never get asked any...  then the period is marked with a cross. UX fail,4
"('4',)",Review Text 1101: I like the idea of this app and really wanted to use it but it is wayyy to buggy.  Alerts seemed infrequent (but maybe I just didn't notice them?) But when I did click on an alert that new questions were available 9 times out of 10 it wouldn't load the questions and there seemed to be no way to get them to appear.  When I first started the app it kept on reasking me the same first question and acting as if I was just setting up an account.  Last straw is it now keeps on showing an error saying I have no internet access which I assure you I do. Not worth the hassle.,4
"('6',)","Review Text 1109: I've really not found this helpful and I've found the questions don't fit for most moods an thoughts. If you miss a time slot even by a short time that's it you can't add it, which is very frustrating and I don't think I need to be given any more negative feelings. It's a good idea but needs a lot of work before severely depressed people should use it. Deleting",6
"('6',)","Review Text 1181: There is no visible place where I can contact the developer, so here is: on the info page, it says laziness is the cause for depression (under knowledge&gt;body&gt;energy and drive). I assume this is a mistake because when you click on it as an answer, it shows you that metabolism is the reason, not laziness. Edit: there are mistakes like that in other lessons too. It is really bad for people with depression to read they are lazy, not interested in their partner, not worth anything etc. Please review your app and fix it. It might make people feel twice as bad.",6
"('4',)",Review Text 1183: Got stuck using it all ready. Tried to do a new day and cannot click on the morning to make an entry. Way to crank up the autism depression by making this hard in the morning. Great start to the day. I didn't have trouble last night. And what's with the timer?,4
