,review,cluster
"('0',)",Review Text 920: 7 Cups is an amazing place where you can find people who will listen to whatever you may be going through without judgement. You can find many caring people who can relate to whatever your situation may be.,0
"('0',)","Review Text 539: One of my most used apps.        Updated review (2016-04-20)  I really appreciate the effort that the developers put into the update.  I really couldn't ask for more all the issues that I had with the app in terms of not knowing when and how to breathe in some areas, there not being modified poses for beginners and the description of poses not being in some instances not being clear have been addressed.  Surprisingly I am even enjoying the longer classes despite being strapped for time in the mornings.   Thanks for listening Track Yoga Team, you guys rock!",0
"('0',)",Review Text 205: An all in one app to monitor and replace distorted thoughts. Has immediately available reference aticles to remind you of distortion.,0
"('10',)",Review Text 2959: Great app helped me control my anger and to keep my calm❤✌,10
"('1',)","Review Text 4670: I love it. I have this habit of questioning everything. This helps me keep the thoughts and knowledge, while still feeling at peace. I can sleep at night now. Literally. Thank you",1
"('0',)","Review Text 3197: Very useful when you're having trouble just getting through your day. I have learned to focus on my breathing as a tool, not just something we do.",0
"('8',)","Review Text 5350: I absolutely needed this app. We are all busy and it's hard to stop and breath.  With headspace you're guided through simple meditation.  No experience needed. Just go with the flow, you'll love it !",8
"('4',)",Review Text 2373: I suffer from severe depression and this app has help me a lot,4
"('10',)","Review Text 1091: It's helped me a lot with my emotional well being. Great response, exercises that focuses on problems such as depression and anxiety to self-harm and loneliness. I greatly recommend it to anyone who's in a tough spot in life.",10
"('9',)",Review Text 262: Thank you so much for creating this app. Very relaxing helps me be more aware and mindful 💜,9
"('2',)","Review Text 170: I love this app for meditation.   The woman's voice is pleasant and soothing.  There are no ridiculous new age rants or religious themes in anything I've seen so far, and the audio quality is among the best I've heard on the Android for.  meditation apps.  The meditations all work well and I find that this has helped me tremendously in reducing my stress levels.  Thank you, thank you, thank you!!!  Love it!",2
"('4',)",Review Text 5698: Very helpful.  I have especially benefitted from the series on patience and pain management.  Now doing a series on cancer.  Highly recommend this app!,4
"('9',)",Review Text 259: Super relaxing. I love the sounds. I 100% recommend it! 👍,9
"('0',)","Review Text 326: *UPDATE*  TalkSpace resolved the issues that I had an offered a refund. I really appreciate that they were able to give individual customer support once they realized there was an issue.   For clarity: I had previously suspended my account. It was only suspended for one-month, and after the month was complete my account was re-activated without any input from me, and I didn't know about it (plus, I was using the $99/month service, so it was a big charge when it reactivated). I don't believe that the automatic reinstatement of my account was made clear to me. Regardless, their support team did finally come through.   I used TalkSpace for several months with one therapist. She was extremely thoughtful and responded daily. If I left a voice message, she responded with voice. And if I left a text message, she responded with text. It was a great system that allowed me to have communication multiple times throughout the week (rather than only being able to talk to someone once per week).   I will say that the first therapist I was matched with wasn't good. But when I requested a new therapist, I got a great one and the process was painless.",0
"('1',)","Review Text 533: This app is crucial for those that need help on how they are feeling. It gives out great information and evaluates how that person is feeling. Great app, it can be a lifesaver.",1
"('4',)",Review Text 3581: It is really a good way to help you with your daily devotional and prayers and helps you build a stronger relationship with Jesus,4
"('0',)",Review Text 3341: So easy to use & very calming. Best part of my day.,0
"('0',)",Review Text 5254: Is there a paid version to avoid the annoying pop up adds?,0
"('2',)","Review Text 186: I love this app. It is my favourite app for meditation and the best one I  have ever downloaded for meditation. Lots of different types of guided  metitation which I love. Lots of different choice, types and guides. I only  wish it was could be more affordable to buy the premium but it's even great  without it.",2
"('8',)","Review Text 260: I use this app mostly so I have a diary of events. Also, so I can show my psychiatrist whats going on with me. I need to know, or find out if I can print out my entries.",8
"('5',)","Review Text 1659: Dis is d ""bestest""app ever... I dont kniw where im gonna go without it..its love ♥♥♥♥",5
"('3',)",Review Text 85: This app made me realise good and evil is an illusion. Call me brainwashed or whatever you want but I found my happiness #InnerPeace,3
"('0',)",Review Text 189: I don't normally rate apps but this is an exception. This app helped a lot. It's worth it so download it . I've been searching for apps like this and thank god I found this....and I found this by accident :D,0
"('0',)",Review Text 256: People who suffer from social anxiety can give this app a try...!,0
"('0',)",Review Text 2094: Quality app. Excellent devotions. They couldn't have made it any simpler to use. An essential in my daily routine.,0
"('0',)","Review Text 636: I like using this but I haven't got the gnack of using it every day yet. I did create my own little breather with it, to help me when I'm stressed out or panicking. Clever little platform this!",0
"('0',)",Review Text 250: It's incredible! I'm a beginner and its so easy to start this journey. I  reccomend this app to anyone looking for peace in their lives.,0
"('5',)",Review Text 1039: Thankyou so much! For helping me to create the wonderful habit. I love this app.,5
"('0',)",Review Text 666: As a father of 4 this app has been more then useful countless times,0
"('2',)","Review Text 991: Great ideas for meditations,  wish there were a few more free ones though, that would seem to be more in the spirit of meditation (generally open and giving).",2
"('10',)",Review Text 1056: The app is working great so far. Minor glitches but nothing that interferes with the meditations(only when you try to make a purchase). Completely reasonably priced in app purchases and even a nice option to donate and comforting to know it's a non-profit as it should be! Great app.,10
"('0',)",Review Text 245: Did not answer my question asked a week ago... Only putting 5 stars so you can see this,0
